City,Total_cases,Total_deaths,Total_tests,Active_cases,Date
West Virginia ,593,6,16124,504,04-12-2020
Hawaii ,486,8,17953,178,04-12-2020
Montana ,387,6,8913,212,04-12-2020
North Dakota ,308,8,10350,179,04-12-2020
Alaska ,257,8,7732,186,04-12-2020
Guam ,133,5,605,70,04-12-2020
Grand Princess Ship ,103,3,0,100,04-12-2020
United States Virgin Islands ,51,1,370,7,04-12-2020
Northern Mariana Islands ,11,2,45,9,04-12-2020
New York ,195031,10056,478357,167886,04-13-2020
New Jersey ,61850,2350,126735,58818,04-13-2020
Massachusetts ,25475,756,116730,23990,04-13-2020
Michigan ,24638,1487,76014,22708,04-13-2020
Pennsylvania ,24199,561,129792,22988,04-13-2020
California ,23428,682,203400,21806,04-13-2020
Louisiana ,21016,884,108091,20082,04-13-2020
Illinois ,20852,720,100735,20082,04-13-2020
Florida ,20601,470,197996,19951,04-13-2020
Texas ,13906,287,133226,11605,04-13-2020
Georgia ,13315,464,57021,12820,04-13-2020
Connecticut ,12035,554,41220,11431,04-13-2020
Washington ,10530,508,92999,8697,04-13-2020
Maryland ,8936,262,51751,8071,04-13-2020
Indiana ,8236,350,44539,7872,04-13-2020
Colorado ,7303,290,37153,6973,04-13-2020
Ohio ,6604,253,63243,6351,04-13-2020
Virginia ,5747,149,41401,5131,04-13-2020
Tennessee ,5308,101,70747,3703,04-13-2020
North Carolina ,4857,96,63388,4675,04-13-2020
Missouri ,4160,116,45064,3860,04-13-2020
Arizona ,3702,122,42109,3540,04-13-2020
Alabama ,3671,98,29140,3553,04-13-2020
Wisconsin ,3341,144,39257,3132,04-13-2020
South Carolina ,3319,82,31426,3237,04-13-2020
Rhode Island ,2976,73,20350,2893,04-13-2020
Nevada ,2971,114,30628,2607,04-13-2020
Mississippi ,2942,98,21101,2844,04-13-2020
Utah ,2303,18,44234,2259,04-13-2020
Oklahoma ,2069,99,22511,1448,04-13-2020
Kentucky ,1963,97,25866,1560,04-13-2020
District Of Columbia ,1955,52,10934,1396,04-13-2020
Iowa ,1710,43,17592,993,04-13-2020
Minnesota ,1650,70,38427,738,04-13-2020
Delaware ,1625,35,11820,1377,04-13-2020
Oregon ,1527,52,29758,1475,04-13-2020
Idaho ,1426,27,14881,1375,04-13-2020
Arkansas ,1398,29,20792,993,04-13-2020
Kansas ,1337,56,13253,1153,04-13-2020
New Mexico ,1245,26,30515,924,04-13-2020
New Hampshire ,985,23,10925,726,04-13-2020
Puerto Rico ,903,45,8157,854,04-13-2020
South Dakota ,868,6,9002,655,04-13-2020
Nebraska ,814,17,10991,775,04-13-2020
Vermont ,748,28,10365,720,04-13-2020
Maine ,698,19,12168,406,04-13-2020
West Virginia ,626,9,16655,534,04-13-2020
Hawaii ,499,9,18827,180,04-13-2020
Montana ,394,7,8913,216,04-13-2020
North Dakota ,331,8,10781,196,04-13-2020
Alaska ,272,8,8038,198,04-13-2020
Guam ,133,5,605,70,04-13-2020
United States Virgin Islands ,51,1,370,7,04-13-2020
Northern Mariana Islands ,11,2,45,9,04-13-2020
New York ,202208,10834,499143,174285,04-14-2020
New Jersey ,68824,2805,131219,64748,04-14-2020
Massachusetts ,26867,844,122049,25294,04-14-2020
Michigan ,25635,1602,76014,23590,04-14-2020
Pennsylvania ,25345,590,133631,24105,04-14-2020
California ,24421,731,212900,22750,04-14-2020
Illinois ,22025,794,105768,21181,04-14-2020
Louisiana ,21518,1013,118422,20455,04-14-2020
Florida ,21367,524,205413,20218,04-14-2020
Texas ,14624,318,146467,11726,04-14-2020
Georgia ,14223,501,61795,13691,04-14-2020
Connecticut ,13381,602,44309,12729,04-14-2020
Washington ,10703,523,92999,8855,04-14-2020
Maryland ,9472,302,53733,8567,04-14-2020
Indiana ,8527,387,46017,8126,04-14-2020
Colorado ,7691,308,38742,7343,04-14-2020
Ohio ,6975,274,63243,6581,04-14-2020
Virginia ,6171,154,42763,5296,04-14-2020
Tennessee ,5610,109,76195,3830,04-14-2020
North Carolina ,5024,108,65039,4830,04-14-2020
Missouri ,4510,122,45064,4204,04-14-2020
Alabama ,3811,105,33050,3686,04-14-2020
Arizona ,3806,131,44096,3635,04-14-2020
South Carolina ,3439,87,31426,3352,04-14-2020
Wisconsin ,3428,154,40197,3209,04-14-2020
Mississippi ,3087,111,21101,2976,04-14-2020
Rhode Island ,2976,73,20350,2893,04-14-2020
Nevada ,2971,120,30628,1682,04-14-2020
Utah ,2363,18,45787,2127,04-14-2020
Oklahoma ,2184,108,28225,1016,04-14-2020
District Of Columbia ,2058,67,11518,1473,04-14-2020
Kentucky ,2048,104,26683,1638,04-14-2020
Delaware ,1761,41,12304,1443,04-14-2020
Iowa ,1710,43,17592,926,04-14-2020
Minnesota ,1695,79,39241,707,04-14-2020
Oregon ,1584,53,31121,1531,04-14-2020
Arkansas ,1480,30,21131,1023,04-14-2020
Idaho ,1453,33,14881,1396,04-14-2020
Kansas ,1376,62,13864,1074,04-14-2020
New Mexico ,1345,31,31970,1019,04-14-2020
New Hampshire ,1020,23,11610,748,04-14-2020
Puerto Rico ,923,45,8535,874,04-14-2020
Nebraska ,871,18,11384,831,04-14-2020
South Dakota ,868,6,9002,655,04-14-2020
Vermont ,748,28,10365,720,04-14-2020
Maine ,734,20,12168,422,04-14-2020
West Virginia ,633,9,16748,539,04-14-2020
Hawaii ,504,9,18827,180,04-14-2020
Montana ,399,7,9234,195,04-14-2020
 North Dakota ,341,9,10916,194,04-14-2020
Alaska ,277,8,8038,184,04-14-2020
Wyoming ,275,1,5963,134,04-14-2020
Guam ,133,5,605,70,04-14-2020
United States Virgin Islands ,51,1,400,6,04-14-2020
Northern Mariana Islands ,11,2,45,9,04-14-2020
New York ,203123,11586,499143,167650,04-15-2020
New Jersey ,71030,3156,131976,66603,04-15-2020
Massachusetts ,28163,957,126551,26477,04-15-2020
Michigan ,27001,1768,76014,24790,04-15-2020
Pennsylvania ,26490,696,137584,25144,04-15-2020
California ,25808,790,215400,23668,04-15-2020
Illinois ,23247,868,110616,22329,04-15-2020
Florida ,22081,591,205413,20846,04-15-2020
Louisiana ,21951,1103,121928,20798,04-15-2020
Texas ,15492,364,151810,11978,04-15-2020
Georgia ,14987,552,64090,14404,04-15-2020
Connecticut ,13989,671,45841,13253,04-15-2020
Washington ,10795,547,122854,8824,04-15-2020
Maryland ,10032,349,55763,9076,04-15-2020
Indiana ,8955,436,48396,8505,04-15-2020
Colorado ,7941,329,39580,7496,04-15-2020
Ohio ,7791,361,67874,7310,04-15-2020
Virginia ,6500,195,44169,5584,04-15-2020
Tennessee ,5823,124,78831,3730,04-15-2020
North Carolina ,5249,125,67827,4241,04-15-2020
 Missouri ,4752,147,48803,4421,04-15-2020
Alabama ,4075,118,34077,3937,04-15-2020
Arizona ,3962,142,45310,3750,04-15-2020
Wisconsin ,3555,170,41552,3298,04-15-2020
South Carolina ,3553,97,33872,3456,04-15-2020
Rhode Island ,3529,87,25897,3432,04-15-2020
Mississippi ,3360,122,37773,3238,04-15-2020
Nevada ,3211,130,33437,1912,04-15-2020
Utah ,2412,19,46476,2175,04-15-2020
Oklahoma ,2263,123,29098,985,04-15-2020
Kentucky ,2210,115,27697,1789,04-15-2020
District Of Columbia ,2197,72,11525,1595,04-15-2020
Iowa ,1995,53,19366,1201,04-15-2020
Delaware ,1926,43,12869,1564,04-15-2020
Minnesota ,1809,87,40242,782,04-15-2020
Oregon ,1633,55,31121,1578,04-15-2020
Arkansas ,1562,32,21800,1043,04-15-2020
Idaho ,1464,39,15398,1401,04-15-2020
Kansas ,1426,69,14147,1117,04-15-2020
New Mexico ,1407,36,32850,1076,04-15-2020
South Dakota ,1168,6,9859,833,04-15-2020
New Hampshire ,1091,27,11847,815,04-15-2020
Puerto Rico ,974,51,9209,919,04-15-2020
Nebraska ,901,20,11757,859,04-15-2020
Maine ,770,24,12168,441,04-15-2020
Vermont ,752,29,10585,723,04-15-2020
West Virginia ,702,10,17656,545,04-15-2020
Hawaii ,517,9,19857,175,04-15-2020
Montana ,404,7,9583,188,04-15-2020
North Dakota ,365,9,11317,214,04-15-2020
Wyoming ,287,1,6129,122,04-15-2020
Alaska ,285,9,8348,178,04-15-2020
Guam ,135,5,605,64,04-15-2020
United States Virgin Islands ,51,1,400,6,04-15-2020
Northern Mariana Islands ,13,2,45,11,04-15-2020
New York ,226343,16251,550579,186205,04-16-2020
New Jersey ,75317,3518,154010,70528,04-16-2020
Massachusetts ,29918,1108,132023,20692,04-16-2020
Michigan ,28059,1921,92483,25695,04-16-2020
Pennsylvania ,27735,779,141470,26306,04-16-2020
California ,27108,889,215400,24869,04-16-2020
Illinois ,24593,948,116929,23595,04-16-2020
Florida ,22897,633,220892,21620,04-16-2020
Louisiana ,22532,1156,126586,21326,04-16-2020
Texas ,16455,393,158547,12385,04-16-2020
Georgia ,15669,587,67939,15051,04-16-2020
Connecticut ,14755,868,50143,13822,04-16-2020
Washington ,10910,567,122854,8865,04-16-2020
Maryland ,10784,392,58843,9656,04-16-2020
Indiana ,9542,477,51115,9051,04-16-2020
Ohio ,8414,389,74840,7905,04-16-2020
Colorado ,8280,357,40533,7425,04-16-2020
Virginia ,6889,208,46444,5730,04-16-2020
Tennessee ,6079,135,80896,3748,04-16-2020
North Carolina ,5553,139,70917,4531,04-16-2020
Missouri ,4895,159,48803,4552,04-16-2020
Alabama ,4317,129,36363,4168,04-16-2020
Arizona ,4234,150,47398,4014,04-16-2020
Rhode Island ,3838,105,28064,3723,04-16-2020
Wisconsin ,3721,182,43047,3452,04-16-2020
South Carolina ,3656,107,34733,3549,04-16-2020
Mississippi ,3624,129,37733,3495,04-16-2020
Nevada ,3321,137,34504,2015,04-16-2020
Utah ,2542,20,47614,2304,04-16-2020
Oklahoma ,2357,131,30795,1071,04-16-2020
District Of Columbia ,2350,81,12150,1717,04-16-2020
Kentucky ,2291,122,28324,1863,04-16-2020
Iowa ,2141,60,20675,1340,04-16-2020
Delaware ,2014,46,13102,1614,04-16-2020
Minnesota ,1912,94,41675,798,04-16-2020
Oregon ,1663,58,33351,1605,04-16-2020
Arkansas ,1599,34,22289,1056,04-16-2020
Kansas ,1588,80,16122,1268,04-16-2020
Idaho ,1587,41,15398,1522,04-16-2020
New Mexico ,1484,36,33394,1153,04-16-2020
South Dakota ,1311,7,9859,931,04-16-2020
New Hampshire ,1139,32,12166,742,04-16-2020
Puerto Rico ,1043,56,9829,983,04-16-2020
Nebraska ,952,21,12324,909,04-16-2020
Maine ,796,27,14872,436,04-16-2020
Vermont ,768,35,11507,733,04-16-2020
West Virginia ,723,12,18027,564,04-16-2020
Hawaii ,530,9,20812,162,04-16-2020
Montana ,415,7,9936,190,04-16-2020
North Dakota ,393,9,11704,221,04-16-2020
Alaska ,293,9,8483,178,04-16-2020
Wyoming ,288,2,6129,110,04-16-2020
Guam ,135,5,605,57,04-16-2020
United States Virgin Islands ,51,1,417,4,04-16-2020
Northern Mariana Islands ,13,2,45,11,04-16-2020
New York ,226198,16736,550579,185575,04-17-2020
New Jersey ,78467,3840,154010,73356,04-17-2020
Massachusetts ,32181,1245,140773,22818,04-17-2020
Pennsylvania ,29441,837,141470,27954,04-17-2020
Michigan ,29263,2093,97093,26727,04-17-2020
California ,28156,973,227600,25833,04-17-2020
Illinois ,25733,1072,122589,24611,04-17-2020
Florida ,24119,686,236503,22747,04-17-2020
Louisiana ,23118,1213,131987,21855,04-17-2020
Texas ,17371,428,158547,13266,04-17-2020
Georgia ,17194,650,71684,16513,04-17-2020
Connecticut ,15884,971,53122,14848,04-17-2020
Maryland ,11572,425,62009,10411,04-17-2020
Washington ,11152,583,128900,8854,04-17-2020
Indiana ,10154,519,54785,9621,04-17-2020
Ohio ,9107,418,74840,8569,04-17-2020
Colorado ,8675,374,41830,7803,04-17-2020
Virginia ,7491,231,48997,6150,04-17-2020
Tennessee ,6262,141,85049,3925,04-17-2020
North Carolina ,5968,166,72981,4919,04-17-2020
Missouri ,5178,168,51545,4826,04-17-2020
Arizona ,4507,169,47398,4268,04-17-2020
Alabama ,4456,142,37848,4294,04-17-2020
Rhode Island ,4177,118,30761,4049,04-17-2020
South Carolina ,3931,109,36284,3822,04-17-2020
Wisconsin ,3875,197,44849,3591,04-17-2020
Mississippi ,3624,129,37733,3495,04-17-2020
Nevada ,3524,142,35955,2213,04-17-2020
Utah ,2683,21,49678,2444,04-17-2020
District Of Columbia ,2476,86,12643,1817,04-17-2020
Oklahoma ,2465,136,30795,1174,04-17-2020
Kentucky ,2429,129,29747,1994,04-17-2020
Iowa ,2332,64,21792,1261,04-17-2020
Delaware ,2075,52,13350,1645,04-17-2020
Minnesota ,2071,111,43053,894,04-17-2020
Oregon ,1736,64,33351,1672,04-17-2020
Arkansas ,1620,37,22675,1035,04-17-2020
Idaho ,1609,41,16183,1540,04-17-2020
Kansas ,1603,80,16122,1283,04-17-2020
New Mexico ,1597,44,34488,1258,04-17-2020
South Dakota ,1311,7,9859,931,04-17-2020
New Hampshire ,1211,34,12632,722,04-17-2020
Puerto Rico ,1068,58,10410,1006,04-17-2020
Nebraska ,1066,24,13173,1020,04-17-2020
Maine ,827,29,14872,446,04-17-2020
Vermont ,779,35,12116,744,04-17-2020
West Virginia ,754,13,18306,594,04-17-2020
Hawaii ,541,9,21985,158,04-17-2020
North Dakota ,439,9,12342,258,04-17-2020
Montana ,422,8,10244,181,04-17-2020
 Wyoming ,401,2,6129,223,04-17-2020
Alaska ,300,9,8735,181,04-17-2020
Guam ,135,5,605,57,04-17-2020
United States Virgin Islands ,51,2,458,3,04-17-2020
Northern Mariana Islands ,13,2,45,11,04-17-2020
New York ,241041,17671,596532,199483,04-18-2020
New Jersey ,81420,4070,164278,76079,04-18-2020
Massachusetts ,34402,1404,148744,24880,04-18-2020
Pennsylvania ,31069,957,153965,29462,04-18-2020
Michigan ,30023,2227,102366,27353,04-18-2020
California ,29580,1057,246400,27173,04-18-2020
Illinois ,27575,1134,130163,26391,04-18-2020
Florida ,25269,740,248412,23843,04-18-2020
Louisiana ,23580,1267,137999,22263,04-18-2020
Texas ,18260,453,176239,13617,04-18-2020
Georgia ,17669,673,74208,16965,04-18-2020
Connecticut ,16809,1036,55462,15708,04-18-2020
Maryland ,12308,463,65370,11074,04-18-2020
Washington ,11445,603,131627,9127,04-18-2020
Indiana ,10641,545,56873,10082,04-18-2020
Ohio ,10222,451,77677,9651,04-18-2020
Colorado ,9047,391,43307,8158,04-18-2020
Virginia ,8053,258,51931,6685,04-18-2020
Tennessee ,6589,142,87273,3430,04-18-2020
North Carolina ,6310,173,76211,5254,04-18-2020
Missouri ,5283,182,53525,4917,04-18-2020
Arizona ,4719,177,51045,4472,04-18-2020
Alabama ,4572,154,42538,4398,04-18-2020
Rhode Island ,4491,137,32826,4344,04-18-2020
South Carolina ,4086,116,37640,1232,04-18-2020
Wisconsin ,4045,205,46410,3753,04-18-2020
Mississippi ,3974,152,37733,3822,04-18-2020
Nevada ,3626,151,35955,2306,04-18-2020
Utah ,2805,23,55771,2339,04-18-2020
District Of Columbia ,2666,91,13268,1967,04-18-2020
Oklahoma ,2570,139,30795,1276,04-18-2020
Kentucky ,2522,137,30596,2079,04-18-2020
Iowa ,2513,74,22947,1432,04-18-2020
Delaware ,2323,61,14017,1839,04-18-2020
Minnesota ,2213,121,44368,974,04-18-2020
Oregon ,1785,70,36321,1715,04-18-2020
Arkansas ,1739,38,24141,998,04-18-2020
New Mexico ,1711,51,35613,1365,04-18-2020
Kansas ,1705,84,16901,1381,04-18-2020
Idaho ,1655,43,16183,1159,04-18-2020
South Dakota ,1542,7,11660,983,04-18-2020
New Hampshire ,1287,37,12852,782,04-18-2020
Nebraska ,1138,24,13753,1092,04-18-2020
Puerto Rico ,1118,60,10933,1054,04-18-2020
Maine ,827,29,14872,446,04-18-2020
Vermont ,803,38,12566,765,04-18-2020
West Virginia ,785,16,19440,544,04-18-2020
Hawaii ,553,9,21985,154,04-18-2020
North Dakota ,528,9,12963,336,04-18-2020
Montana ,426,10,10569,173,04-18-2020
Wyoming ,412,2,7280,204,04-18-2020
Alaska ,314,9,9655,158,04-18-2020
Guam ,136,5,605,21,04-18-2020
United States Virgin Islands ,53,3,458,4,04-18-2020
Northern Mariana Islands ,13,2,45,11,04-18-2020
New York ,247215,18776,617555,204552,04-20-2020
New Jersey ,85301,4202,172543,79828,04-20-2020
Massachusetts ,38077,1706,162241,28253,04-20-2020
Pennsylvania ,33232,1238,162952,31344,04-20-2020
California ,31675,1178,280900,29147,04-20-2020
Michigan ,31424,2391,113800,25796,04-20-2020
Illinois ,30357,1290,143318,28461,04-20-2020
Florida ,26660,789,267957,25185,04-20-2020
Louisiana ,24523,1328,141561,23145,04-20-2020
Texas ,19458,499,190394,14153,04-20-2020
Georgia ,18947,733,84328,18183,04-20-2020
Connecticut ,17962,1127,59759,16770,04-20-2020
Maryland ,13684,582,71397,12185,04-20-2020
Washington ,11790,634,135706,9378,04-20-2020
Indiana ,11686,569,64639,11103,04-20-2020
Ohio ,11602,471,86989,11011,04-20-2020
Colorado ,9730,422,46195,8810,04-20-2020
Virginia ,8990,300,56735,7366,04-20-2020
Tennessee ,7070,148,97098,3688,04-20-2020
North Carolina ,6840,199,79484,5758,04-20-2020
Missouri ,5698,198,53909,5316,04-20-2020
Rhode Island ,5090,155,37080,4925,04-20-2020
Arizona ,5064,187,54500,4807,04-20-2020
Alabama ,4999,165,45712,4814,04-20-2020
Mississippi ,4512,169,39065,4343,04-20-2020
South Carolina ,4377,120,40480,1519,04-20-2020
Wisconsin ,4346,220,49669,3932,04-20-2020
Nevada ,3830,158,39528,2503,04-20-2020
Iowa ,3159,79,25820,1845,04-20-2020
Utah ,3069,27,63555,2363,04-20-2020
Kentucky ,2960,148,32319,1690,04-20-2020
District Of Columbia ,2927,105,14113,2192,04-20-2020
Delaware ,2745,72,16470,2178,04-20-2020
Oklahoma ,2680,143,35536,1003,04-20-2020
Minnesota ,2470,143,46850,1167,04-20-2020
Oregon ,1910,74,39038,1836,04-20-2020
Arkansas ,1853,41,26483,1074,04-20-2020
Kansas ,1849,92,18130,1317,04-20-2020
New Mexico ,1845,55,37042,1303,04-20-2020
Idaho ,1672,45,17445,1042,04-20-2020
South Dakota ,1635,7,12062,982,04-20-2020
Nebraska ,1474,28,15756,1424,04-20-2020
New Hampshire ,1392,41,14118,830,04-20-2020
Puerto Rico ,1252,63,11633,1185,04-20-2020
West Virginia  ,902,24,22155,653,04-20-2020
Maine ,875,35,14943,426,04-20-2020
Vermont ,816,38,12981,778,04-20-2020
North Dakota ,627,13,14747,425,04-20-2020
Hawaii ,580,10,24452,156,04-20-2020
Montana ,433,10,11051,180,04-20-2020
Wyoming ,426,2,7280,191,04-20-2020
Alaska ,319,9,9895,157,04-20-2020
Guam ,136,5,605,21,04-20-2020
United States Virgin Islands ,53,3,625,2,04-20-2020
Northern Mariana Islands ,14,2,45,3,04-20-2020
New York ,256272,19410,649325,212975,04-21-2020
New Jersey ,88806,4377,179682,83158,04-21-2020
Massachusetts ,39643,1809,169398,29716,04-21-2020
Pennsylvania ,34528,1564,166851,32314,04-21-2020
California ,33897,1227,280900,29333,04-21-2020
Michigan ,32000,2468,118265,26295,04-21-2020
Illinois ,31508,1349,148358,29553,04-21-2020
Florida ,27495,839,278888,25970,04-21-2020
Louisiana ,24854,1405,141835,23399,04-21-2020
Texas ,20196,517,205399,14873,04-21-2020
Georgia ,19881,799,88140,19051,04-21-2020
Connecticut ,19815,1331,62806,18419,04-21-2020
Maryland ,14193,652,73635,12611,04-21-2020
Ohio ,12919,509,90839,12290,04-21-2020
Indiana ,12097,630,67264,11453,04-21-2020
Washington ,12085,652,141011,9651,04-21-2020
Colorado ,10106,449,47466,9159,04-21-2020
Virginia ,9630,324,58354,7982,04-21-2020
Tennessee ,7238,152,100689,3852,04-21-2020
North Carolina ,7089,233,83331,5973,04-21-2020
Missouri ,5831,205,56986,5079,04-21-2020
Rhode Island ,5500,171,39333,5036,04-21-2020
Arizona ,5251,208,55152,4973,04-21-2020
Alabama ,5156,176,48387,4960,04-21-2020
Mississippi ,4716,183,52364,4533,04-21-2020
Wisconsin ,4499,230,51102,4075,04-21-2020
South Carolina ,4439,124,40480,1577,04-21-2020
Nevada ,3937,163,40464,2605,04-21-2020
Iowa ,3641,83,27615,2265,04-21-2020
Utah ,3213,28,68311,2506,04-21-2020
District Of Columbia ,3098,112,14939,2350,04-21-2020
Kentucky ,3050,154,32820,1774,04-21-2020
Delaware ,2931,82,16656,2284,04-21-2020
Oklahoma ,2807,164,35536,941,04-21-2020
Minnesota ,2567,160,47697,1153,04-21-2020
Kansas ,2025,107,18761,1478,04-21-2020
Arkansas ,1990,42,27204,1149,04-21-2020
New Mexico ,1971,58,38755,1426,04-21-2020
Oregon ,1956,75,40045,1881,04-21-2020
Idaho  ,1736,48,17445,1028,04-21-2020
South Dakota ,1685,7,12062,969,04-21-2020
Nebraska ,1648,33,16478,1593,04-21-2020
New Hampshire ,1447,42,14295,884,04-21-2020
Puerto Rico ,1252,63,11633,1185,04-21-2020
West Virginia ,914,26,22357,663,04-21-2020
Maine ,888,36,14943,409,04-21-2020
Vermont ,818,40,13111,778,04-21-2020
North Dakota ,644,13,14987,417,04-21-2020
Hawaii ,584,10,24452,151,04-21-2020
Montana ,437,12,11241,152,04-21-2020
Wyoming ,428,2,7386,189,04-21-2020
Alaska ,321,9,10124,151,04-21-2020
Guam ,136,5,605,21,04-21-2020
United States Virgin Islands ,53,3,625,2,04-21-2020
Northern Mariana Islands ,14,2,45,3,04-21-2020
New York ,262081,20167,669982,212321,04-22-2020
New Jersey ,92387,4753,185914,86363,04-22-2020
Massachusetts ,41199,1961,175372,31120,04-22-2020
California ,35881,1332,300100,31212,04-22-2020
Pennsylvania ,35293,1614,171956,33029,04-22-2020
Illinois ,33059,1468,154997,30985,04-22-2020
Michigan ,32967,2700,121298,26995,04-22-2020
Florida ,28309,893,284206,26730,04-22-2020
Louisiana ,25258,1473,141672,23735,04-22-2020
Texas ,21069,543,205399,15720,04-22-2020
Georgia ,20740,836,94072,19873,04-22-2020
Connecticut ,20360,1423,64192,18872,04-22-2020
Maryland ,14775,698,76529,13096,04-22-2020
Ohio ,13725,557,94239,13048,04-22-2020
Indiana ,12438,661,69470,11763,04-22-2020
Washington ,12282,682,145031,9818,04-22-2020
Colorado ,10447,486,48704,9402,04-22-2020
Virginia ,9630,324,58354,7982,04-22-2020
Tennessee ,7394,157,108182,3409,04-22-2020
North Carolina ,7333,261,90336,6189,04-22-2020
Missouri ,6040,224,57960,5269,04-22-2020
 Rhode Island ,5841,181,41722,5367,04-22-2020
Alabama ,5445,193,48387,5232,04-22-2020
Arizona ,5251,208,55152,4973,04-22-2020
Mississippi ,4716,183,52364,4533,04-22-2020
Wisconsin ,4620,242,52461,4184,04-22-2020
South Carolina ,4608,135,42441,1735,04-22-2020
Nevada ,4081,172,41534,2068,04-22-2020
Iowa ,3748,90,28244,2230,04-22-2020
Utah ,3296,32,72358,2376,04-22-2020
District Of Columbia ,3206,127,15502,2434,04-22-2020
Delaware ,3200,89,16553,2512,04-22-2020
Kentucky ,3192,171,33328,1899,04-22-2020
Oklahoma ,2894,170,44489,952,04-22-2020
Minnesota ,2721,179,49344,1225,04-22-2020
Arkansas ,2262,43,29057,1370,04-22-2020
Kansas ,2210,109,19101,1598,04-22-2020
New Mexico ,2072,65,40877,1478,04-22-2020
Oregon ,2002,78,40045,1924,04-22-2020
Idaho ,1766,51,17730,1005,04-22-2020
South Dakota ,1755,8,12815,923,04-22-2020
Nebraska ,1722,38,16813,1662,04-22-2020
New Hampshire ,1491,42,15041,903,04-22-2020
Puerto Rico ,1378,67,11633,1307,04-22-2020
West Virginia ,929,26,25435,678,04-22-2020
Maine ,907,39,14943,413,04-22-2020
Vermont ,823,40,13462,783,04-22-2020
North Dakota ,679,14,15589,436,04-22-2020
Hawaii  ,586,12,25579,137,04-22-2020
Wyoming ,441,6,7623,181,04-22-2020
Montana ,439,14,11583,129,04-22-2020
Alaska ,329,9,11119,152,04-22-2020
Guam ,136,5,605,21,04-22-2020
United States Virgin Islands ,54,3,688,3,04-22-2020
Northern Mariana Islands ,14,2,45,3,04-22-2020
New York ,268512,20792,695920,218127,04-23-2020
New Jersey ,99989,5368,199686,93350,04-23-2020
Massachusetts ,42944,2182,180462,32644,04-23-2020
California ,37787,1438,300100,33012,04-23-2020
Pennsylvania ,36892,1713,171956,34529,04-23-2020
Illinois ,35108,1565,164436,32937,04-23-2020
Michigan ,33966,2813,121298,27881,04-23-2020
Florida ,28832,960,298587,27186,04-23-2020
Louisiana ,25739,1599,141858,24090,04-23-2020
Connecticut ,22469,1544,69918,20860,04-23-2020
Texas ,21944,561,225078,16577,04-23-2020
Georgia ,21512,872,101062,20609,04-23-2020
Maryland ,15737,748,80100,13949,04-23-2020
Ohio ,14117,610,97998,13387,04-23-2020
Indiana ,13039,706,72040,12319,04-23-2020
Washington ,12494,692,147953,10020,04-23-2020
Virginia ,10998,372,64518,9302,04-23-2020
Colorado ,10878,508,50645,9811,04-23-2020
Tennessee ,7842,166,114980,3664,04-23-2020
North Carolina ,7759,275,96185,6601,04-23-2020
Rhode Island ,6256,189,44419,5725,04-23-2020
Missouri ,6188,232,59266,5409,04-23-2020
Arizona ,5769,249,58697,5450,04-23-2020
Alabama ,5743,201,48387,5522,04-23-2020
